320 391 Loss: 0.029 | Acc: 99.793% (41003/41088)
340 391 Loss: 0.029 | Acc: 99.796% (43559/43648)
360 391 Loss: 0.029 | Acc: 99.801% (46116/46208)
380 391 Loss: 0.029 | Acc: 99.811% (48676/48768)
0 1000 Loss: 1.689 | Acc: 50.000% (5/10)
20 1000 Loss: 0.919 | Acc: 76.667% (161/210)
40 1000 Loss: 0.870 | Acc: 77.805% (319/410)
60 1000 Loss: 0.992 | Acc: 76.230% (465/610)
80 1000 Loss: 0.951 | Acc: 77.037% (624/810)
100 1000 Loss: 1.010 | Acc: 75.347% (761/1010)
120 1000 Loss: 0.998 | Acc: 75.537% (914/1210)
140 1000 Loss: 0.981 | Acc: 75.816% (1069/1410)
160 1000 Loss: 0.996 | Acc: 75.466% (1215/1610)
180 1000 Loss: 1.016 | Acc: 74.972% (1357/1810)
200 1000 Loss: 0.998 | Acc: 75.274% (1513/2010)
220 1000 Loss: 1.004 | Acc: 75.068% (1659/2210)
240 1000 Loss: 1.015 | Acc: 74.855% (1804/2410)
260 1000 Loss: 1.000 | Acc: 75.134% (1961/2610)
280 1000 Loss: 1.006 | Acc: 74.947% (2106/2810)
300 1000 Loss: 1.019 | Acc: 74.618% (2246/3010)
320 1000 Loss: 1.020 | Acc: 74.517% (2392/3210)
340 1000 Loss: 1.028 | Acc: 74.340% (2535/3410)
360 1000 Loss: 1.036 | Acc: 74.294% (2682/3610)
380 1000 Loss: 1.025 | Acc: 74.541% (2840/3810)
400 1000 Loss: 1.020 | Acc: 74.539% (2989/4010)
420 1000 Loss: 1.021 | Acc: 74.489% (3136/4210)
440 1000 Loss: 1.017 | Acc: 74.649% (3292/4410)
460 1000 Loss: 1.021 | Acc: 74.664% (3442/4610)
480 1000 Loss: 1.017 | Acc: 74.740% (3595/4810)
500 1000 Loss: 1.018 | Acc: 74.810% (3748/5010)
520 1000 Loss: 1.015 | Acc: 74.779% (3896/5210)
540 1000 Loss: 1.010 | Acc: 74.917% (4053/5410)
560 1000 Loss: 1.005 | Acc: 75.009% (4208/5610)
580 1000 Loss: 1.003 | Acc: 75.077% (4362/5810)
600 1000 Loss: 1.004 | Acc: 75.092% (4513/6010)
620 1000 Loss: 1.009 | Acc: 74.928% (4653/6210)
640 1000 Loss: 1.004 | Acc: 75.070% (4812/6410)
660 1000 Loss: 1.010 | Acc: 75.023% (4959/6610)
680 1000 Loss: 1.006 | Acc: 75.110% (5115/6810)
700 1000 Loss: 1.004 | Acc: 75.264% (5276/7010)
720 1000 Loss: 1.004 | Acc: 75.298% (5429/7210)
740 1000 Loss: 1.002 | Acc: 75.236% (5575/7410)
760 1000 Loss: 1.000 | Acc: 75.217% (5724/7610)
780 1000 Loss: 1.006 | Acc: 75.134% (5868/7810)
800 1000 Loss: 1.012 | Acc: 75.044% (6011/8010)
820 1000 Loss: 1.015 | Acc: 74.994% (6157/8210)
840 1000 Loss: 1.013 | Acc: 74.958% (6304/8410)
860 1000 Loss: 1.007 | Acc: 75.122% (6468/8610)
880 1000 Loss: 1.005 | Acc: 75.153% (6621/8810)
900 1000 Loss: 1.002 | Acc: 75.216% (6777/9010)
920 1000 Loss: 1.006 | Acc: 75.147% (6921/9210)
940 1000 Loss: 1.003 | Acc: 75.250% (7081/9410)
960 1000 Loss: 1.005 | Acc: 75.286% (7235/9610)
980 1000 Loss: 1.003 | Acc: 75.372% (7394/9810)

Epoch: 162
0 391 Loss: 0.024 | Acc: 100.000% (128/128)
20 391 Loss: 0.029 | Acc: 99.888% (2685/2688)
40 391 Loss: 0.029 | Acc: 99.829% (5239/5248)
60 391 Loss: 0.028 | Acc: 99.859% (7797/7808)
80 391 Loss: 0.028 | Acc: 99.846% (10352/10368)
100 391 Loss: 0.028 | Acc: 99.845% (12908/12928)
120 391 Loss: 0.029 | Acc: 99.839% (15463/15488)
140 391 Loss: 0.029 | Acc: 99.823% (18016/18048)
160 391 Loss: 0.028 | Acc: 99.845% (20576/20608)
180 391 Loss: 0.028 | Acc: 99.849% (23133/23168)
200 391 Loss: 0.028 | Acc: 99.845% (25688/25728)
220 391 Loss: 0.028 | Acc: 99.844% (28244/28288)
240 391 Loss: 0.028 | Acc: 99.844% (30800/30848)
260 391 Loss: 0.028 | Acc: 99.847% (33357/33408)
280 391 Loss: 0.028 | Acc: 99.850% (35914/35968)
300 391 Loss: 0.028 | Acc: 99.855% (38472/38528)
320 391 Loss: 0.028 | Acc: 99.844% (41024/41088)
340 391 Loss: 0.028 | Acc: 99.846% (43581/43648)
360 391 Loss: 0.028 | Acc: 99.846% (46137/46208)
380 391 Loss: 0.028 | Acc: 99.846% (48693/48768)
0 1000 Loss: 1.770 | Acc: 40.000% (4/10)
20 1000 Loss: 0.934 | Acc: 76.667% (161/210)
40 1000 Loss: 0.876 | Acc: 78.049% (320/410)
60 1000 Loss: 0.999 | Acc: 75.574% (461/610)
80 1000 Loss: 0.954 | Acc: 76.543% (620/810)
100 1000 Loss: 1.011 | Acc: 75.248% (760/1010)
120 1000 Loss: 1.004 | Acc: 75.785% (917/1210)
140 1000 Loss: 0.987 | Acc: 75.957% (1071/1410)
160 1000 Loss: 1.001 | Acc: 75.776% (1220/1610)
180 1000 Loss: 1.026 | Acc: 75.138% (1360/1810)
200 1000 Loss: 1.006 | Acc: 75.473% (1517/2010)
220 1000 Loss: 1.013 | Acc: 75.113% (1660/2210)
240 1000 Loss: 1.020 | Acc: 74.896% (1805/2410)
260 1000 Loss: 1.003 | Acc: 75.211% (1963/2610)
280 1000 Loss: 1.011 | Acc: 74.982% (2107/2810)
300 1000 Loss: 1.024 | Acc: 74.651% (2247/3010)
320 1000 Loss: 1.024 | Acc: 74.548% (2393/3210)
340 1000 Loss: 1.033 | Acc: 74.399% (2537/3410)
360 1000 Loss: 1.040 | Acc: 74.377% (2685/3610)
380 1000 Loss: 1.029 | Acc: 74.619% (2843/3810)
400 1000 Loss: 1.026 | Acc: 74.613% (2992/4010)
420 1000 Loss: 1.026 | Acc: 74.537% (3138/4210)
